Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2024-02-01 00:00:00+07:00;8.666.465.175.982.600;87.338.211.229.462;8.599.109.229.019.000;8.711.369.140.625;104208700;00.00;00.00
2024-02-02 00:00:00+07:00;8.778.725.087.588.590;8.801.177.069.909.790;8.644.013.193.661.400;8.711.369.140.625;99324000;00.00;00.00
2024-02-05 00:00:00+07:00;8.688.918.292.570.980;8.688.918.292.570.980;8.554.206.381.058.250;85.991.103.515.625;57983300;00.00;00.00
2024-02-06 00:00:00+07:00;8.756.273.589.691.550;8.756.273.589.691.550;8.644.013.671.875;8.644.013.671.875;87651000;00.00;00.00
2024-02-07 00:00:00+07:00;8.711.369.140.625;87.338.211.229.462;8.666.465.175.982.600;8.711.369.140.625;92953500;00.00;00.00
2024-02-12 00:00:00+07:00;8.756.272.794.762.430;88.011.767.578.125;8.711.368.831.712.370;88.011.767.578.125;87949400;00.00;00.00
2024-02-13 00:00:00+07:00;8.756.274.250.883.670;8.801.178.221.401.020;8.711.370.280.366.320;8.733.822.265.625;66072400;00.00;00.00
2024-02-15 00:00:00+07:00;8.935.889.970.653.550;895.834.195.550.444;884.608.203.125;884.608.203.125;164748900;00.00;00.00
2024-02-16 00:00:00+07:00;8.958.342.611.494.970;8.980.794.597.989.940;8.868.534.665.515.070;8.935.890.625;142277200;00.00;00.00
2024-02-19 00:00:00+07:00;8.890.986.164.952.530;8.958.342.120.747.620;8.823.630.209.157.430;88.685.341.796.875;53341300;00.00;00.00
2024-02-20 00:00:00+07:00;8.846.083.156.366.890;90.032.470.703.125;8.846.083.156.366.890;90.032.470.703.125;63997700;00.00;00.00
2024-02-21 00:00:00+07:00;893.588.981.242.168;898.079.378.132.832;8.846.081.874.608.390;8.958.341.796.875;75371600;00.00;00.00
2024-02-22 00:00:00+07:00;8.958.342.120.747.620;8.958.342.120.747.620;88.685.341.796.875;88.685.341.796.875;66913000;00.00;00.00
2024-02-23 00:00:00+07:00;8.890.984.852.099.230;8.913.436.834.048.980;8.801.176.924.300.250;882.362.890.625;55192300;00.00;00.00
2024-02-26 00:00:00+07:00;8.756.272.794.762.430;8.868.532.702.387.590;8.733.820.813.237.400;88.011.767.578.125;41356000;00.00;00.00
2024-02-27 00:00:00+07:00;8.756.274.253.362.340;8.890.986.164.952.530;8.756.274.253.362.340;88.685.341.796.875;43735800;00.00;00.00
2024-02-28 00:00:00+07:00;895.834.196.044.922;89.807.939.453.125;8.890.986.005.859.370;89.807.939.453.125;54043100;00.00;00.00
2024-02-29 00:00:00+07:00;8.980.794.106.012.650;8.980.794.106.012.650;8.846.082.194.422.460;88.685.341.796.875;126671200;00.00;00.00
2024-03-01 00:00:00+07:00;8.890.984.852.099.230;8.913.436.834.048.980;8.801.176.924.300.250;882.362.890.625;51520600;00.00;00.00
2024-03-04 00:00:00+07:00;8.801.177.403.846.150;8.823.629.387.019.230;87.562.734.375;87.562.734.375;43822900;00.00;00.00
2024-03-05 00:00:00+07:00;8.890.984.683.912.620;8.890.984.683.912.620;8.778.724.776.287.460;88.011.767.578.125;61952900;00.00;00.00
2024-03-06 00:00:00+07:00;889.098.665.201.005;8.980.794.597.989.940;8.778.726.719.535.170;8.935.890.625;70242200;00.00;00.00
2024-03-07 00:00:00+07:00;9.025.697.757.523.140;9.137.957.679.880.400;8.980.793.788.580.240;90.930.537.109.375;118369300;00.00;00.00
2024-03-08 00:00:00+07:00;9.205.314.785.060.030;9.250.218.759.621.300;9.093.054.848.656.860;91.155.068.359.375;100947200;00.00;00.00
2024-03-13 00:00:00+07:00;9.340.025.703.125;9.340.025.703.125;89.807.939.453.125;89.807.939.453.125;141622600;00.00;00.00
2024-03-14 00:00:00+07:00;9.025.698.083.762.100;9.272.669.921.875;9.003.246.098.479.110;9.272.669.921.875;110681100;00.00;00.00
2024-03-15 00:00:00+07:00;9.160.410.810.498.760;9.250.218.759.621.300;9.025.698.886.814.960;91.155.068.359.375;154176800;00.00;00.00
2024-03-18 00:00:00+07:00;9.137.958.823.218.130;922.776.677.234.067;91.155.068.359.375;91.155.068.359.375;62444100;00.00;00.00
2024-03-19 00:00:00+07:00;9.115.506.022.535.310;9.205.313.963.644.040;9.115.506.022.535.310;91.379.580.078.125;55004800;00.00;00.00
2024-03-20 00:00:00+07:00;907.060.172.646.605;911.550.569.540.895;9.048.149.741.994.590;90.930.537.109.375;66269700;00.00;00.00
2024-03-21 00:00:00+07:00;9.137.957.679.880.400;9.182.861.648.823.300;9.025.697.757.523.140;90.930.537.109.375;90279400;00.00;00.00
2024-03-22 00:00:00+07:00;8.980.794.593.131.180;9.093.054.525.545.320;8.935.890.620.165.530;90.706.025.390.625;91968200;00.00;00.00
2024-03-25 00:00:00+07:00;92.566.533.203.125;92.566.533.203.125;911.883.714.184.631;92.566.533.203.125;66971000;227.05.00;00.00
2024-03-26 00:00:00+07:00;92.336.845.703.125;92.336.845.703.125;9.141.807.111.901.430;92.336.845.703.125;65742700;00.00;00.00
2024-03-27 00:00:00+07:00;9.210.714.594.157.100;92.566.533.203.125;9.187.745.231.079.400;92.566.533.203.125;39514100;00.00;00.00
2024-03-28 00:00:00+07:00;9.210.714.594.157.100;9.279.622.683.390.190;9.164.775.868.001.700;92.566.533.203.125;79229700;00.00;00.00
2024-04-01 00:00:00+07:00;9.256.653.969.701.770;9.279.623.334.390.860;9.026.960.322.810.910;90.499.296.875;79248700;00.00;00.00
2024-04-02 00:00:00+07:00;9.118.836.549.084.590;9.141.805.910.669.190;9.003.989.741.161.610;90.958.671.875;76763100;00.00;00.00
2024-04-03 00:00:00+07:00;8.958.051.411.786.410;9.003.990.136.975.060;87.513.271.484.375;87.513.271.484.375;177418400;00.00;00.00
2024-04-04 00:00:00+07:00;8.797.266.675.920.050;90.499.296.875;8.797.266.675.920.050;90.499.296.875;75993500;00.00;00.00
2024-04-05 00:00:00+07:00;9.141.806.779.778.940;9.141.806.779.778.940;90.269.599.609.375;90.269.599.609.375;70428600;00.00;00.00
2024-04-16 00:00:00+07:00;859.054.281.930.244;8.797.267.111.745.540;8.498.665.355.994.390;87.053.896.484.375;283265900;00.00;00.00
2024-04-17 00:00:00+07:00;8.774.296.511.031.820;8.889.143.324.003.440;87.513.271.484.375;87.513.271.484.375;95620700;00.00;00.00
2024-04-18 00:00:00+07:00;8.751.328.380.091.520;8.797.267.111.745.540;8.682.420.282.610.480;87.053.896.484.375;127134000;00.00;00.00
2024-04-19 00:00:00+07:00;859.054.281.930.244;8.728.359.014.264.510;8.544.604.087.648.410;87.053.896.484.375;147784300;00.00;00.00
2024-04-22 00:00:00+07:00;863.648.071.941.845;8.659.450.083.033.920;85.905.419.921.875;85.905.419.921.875;128908000;00.00;00.00
2024-04-23 00:00:00+07:00;8.636.480.318.123.390;8.981.020.756.346.400;8.636.480.318.123.390;893.508.203.125;178833000;00.00;00.00
2024-04-24 00:00:00+07:00;9.026.960.787.825.840;91.418.076.171.875;8.958.052.690.208.850;91.418.076.171.875;132832700;00.00;00.00
2024-04-25 00:00:00+07:00;9.187.745.764.066.490;9.187.745.764.066.490;8.912.113.391.144.500;8.981.021.484.375;104874100;00.00;00.00
2024-04-26 00:00:00+07:00;8.912.113.169.642.850;9.026.959.988.839.280;8.843.205.078.125;8.843.205.078.125;100932900;00.00;00.00
2024-04-29 00:00:00+07:00;8.751.327.243.104.270;9.049.928.960.060.580;8.751.327.243.104.270;9.003.990.234.375;90063500;00.00;00.00
2024-04-30 00:00:00+07:00;9.233.683.862.802.930;9.233.683.862.802.930;9.003.990.234.375;9.003.990.234.375;109623000;00.00;00.00
2024-05-02 00:00:00+07:00;9.095.867.964.659.680;9.095.867.964.659.680;872.835.814.790.576;8.774.296.875;97079400;00.00;00.00
2024-05-03 00:00:00+07:00;8.958.052.228.743.650;90.499.296.875;8.889.144.134.676.390;90.499.296.875;81200400;00.00;00.00
2024-05-06 00:00:00+07:00;9.049.928.960.060.580;907.289.832.290.338;8.981.020.871.532.200;9.003.990.234.375;53076200;00.00;00.00
2024-05-07 00:00:00+07:00;89.121.123.046.875;8.958.051.027.907.530;8.843.204.219.857.440;89.121.123.046.875;66746800;00.00;00.00
2024-05-08 00:00:00+07:00;8.820.235.999.999.990;8.912.113.458.333.330;861.351.171.875;861.351.171.875;112808900;00.00;00.00
2024-05-13 00:00:00+07:00;8.452.725.434.711.280;87.513.271.484.375;8.452.725.434.711.280;87.513.271.484.375;145469900;00.00;00.00
2024-05-14 00:00:00+07:00;8.843.204.965.641.360;8.889.143.692.735.600;875.132.751.145.288;8.774.296.875;95363500;00.00;00.00
2024-05-15 00:00:00+07:00;8.728.359.375;8.820.236.842.105.260;8.659.451.274.671.050;8.728.359.375;54741900;00.00;00.00
2024-05-16 00:00:00+07:00;8.797.266.962.687.170;8.889.144.424.438.470;8.751.328.231.811.520;8.820.236.328.125;61126000;00.00;00.00
2024-05-17 00:00:00+07:00;8.820.235.576.923.070;9.049.929.211.738.780;8.797.266.213.441.500;89.580.517.578.125;99848500;00.00;00.00
2024-05-20 00:00:00+07:00;8.912.113.940.880.600;9.003.991.404.188.650;87.053.896.484.375;87.053.896.484.375;87890100;00.00;00.00
2024-05-21 00:00:00+07:00;86.824.198.125;8.797.266.635.416.660;861.351.171.875;861.351.171.875;75311400;00.00;00.00
2024-05-22 00:00:00+07:00;8.705.388.923.139.090;8.797.266.378.792.270;8.567.572.739.659.310;86.594.501.953.125;121712700;00.00;00.00
2024-05-27 00:00:00+07:00;8.544.603.515.625;8.613.511.608.492.940;8.521.634.151.335.680;8.544.603.515.625;128578500;00.00;00.00
2024-05-28 00:00:00+07:00;8.544.603.515.625;8.636.480.972.782.250;8.544.603.515.625;8.544.603.515.625;73945700;00.00;00.00
2024-05-29 00:00:00+07:00;8.521.634.917.712.600;8.567.573.650.422.640;84.067.880.859.375;84.067.880.859.375;117351600;00.00;00.00
2024-05-30 00:00:00+07:00;82.689.716.796.875;8.498.665.337.456.590;8.062.247.387.695.310;82.689.716.796.875;207115100;00.00;00.00
2024-05-31 00:00:00+07:00;8.360.847.888.513.510;84.986.640.625;829.193.980.152.027;84.986.640.625;756431600;00.00;00.00
2024-06-03 00:00:00+07:00;859.054.187.900.101;859.054.187.900.101;8.475.695.062.436.820;85.216.337.890.625;72197700;00.00;00.00
2024-06-04 00:00:00+07:00;8.751.327.537.495.820;8.751.327.537.495.820;85.905.419.921.875;85.905.419.921.875;75353100;00.00;00.00
2024-06-05 00:00:00+07:00;872.835.865.162.037;872.835.865.162.037;8.544.603.732.638.880;8.682.419.921.875;82087300;00.00;00.00
2024-06-06 00:00:00+07:00;8.751.328.380.091.520;8.751.328.380.091.520;8.682.420.282.610.480;87.053.896.484.375;44991300;00.00;00.00
2024-06-07 00:00:00+07:00;8.728.357.804.121.980;8.728.357.804.121.980;8.567.572.265.625;8.567.572.265.625;51599800;00.00;00.00
2024-06-10 00:00:00+07:00;8.728.357.785.843.170;87.513.271.484.375;8.682.419.060.654.520;87.513.271.484.375;45584700;00.00;00.00
2024-06-11 00:00:00+07:00;8.774.297.158.518.140;8.774.297.158.518.140;8.544.603.515.625;8.544.603.515.625;68690900;00.00;00.00
2024-06-12 00:00:00+07:00;8.544.602.787.162.160;8.567.572.149.493.240;84.986.640.625;84.986.640.625;49785700;00.00;00.00
2024-06-13 00:00:00+07:00;8.705.388.578.995.410;8.705.388.578.995.410;84.527.255.859.375;84.527.255.859.375;84652200;00.00;00.00
2024-06-14 00:00:00+07:00;84.527.255.859.375;849.866.431.194.803;836.084.813.391.644;84.527.255.859.375;52986300;00.00;00.00
2024-06-19 00:00:00+07:00;849.866.507.683.011;849.866.507.683.011;831.491.015.625;831.491.015.625;100051000;00.00;00.00
2024-06-20 00:00:00+07:00;8.406.787.192.266.240;86.594.501.953.125;8.360.848.464.439.650;86.594.501.953.125;81474800;00.00;00.00
2024-06-21 00:00:00+07:00;8.705.389.500.935.870;8.889.144.424.438.470;8.636.481.404.622.390;8.820.236.328.125;166841200;00.00;00.00
2024-06-24 00:00:00+07:00;8.820.236.328.125;8.958.052.520.751.950;8.797.266.962.687.170;8.820.236.328.125;79592300;00.00;00.00
2024-06-25 00:00:00+07:00;8.820.236.328.125;8.820.236.328.125;8.682.420.135.498.040;8.820.236.328.125;80029000;00.00;00.00
2024-06-26 00:00:00+07:00;8.751.328.741.776.310;8.866.175.575.657.890;8.682.420.641.447.360;8.728.359.375;77913200;00.00;00.00
2024-06-27 00:00:00+07:00;8.797.266.213.441.500;89.580.517.578.125;8.774.296.849.959.930;89.580.517.578.125;89150700;00.00;00.00
2024-06-28 00:00:00+07:00;9.003.991.065.806.040;9.164.776.620.552.580;8.981.021.700.842.250;9.118.837.890.625;166172300;00.00;00.00
2024-07-01 00:00:00+07:00;904.993.004.845.728;9.095.868.779.667.720;9.026.960.682.852.050;90.728.994.140.625;68634600;00.00;00.00
2024-07-02 00:00:00+07:00;9.187.744.633.838.380;9.187.744.633.838.380;9.049.928.464.330.800;90.958.671.875;78848500;00.00;00.00
2024-07-03 00:00:00+07:00;9.164.776.728.515.620;918.774.609.375;9.118.837.998.046.870;918.774.609.375;55860200;00.00;00.00
2024-07-04 00:00:00+07:00;9.164.776.143.547.230;9.187.745.507.315.520;90.269.599.609.375;90.269.599.609.375;67054000;00.00;00.00
2024-07-05 00:00:00+07:00;911.883.825.131.517;916.477.698.305.983;9.072.899.519.570.500;91.418.076.171.875;36946900;00.00;00.00
2024-07-08 00:00:00+07:00;9.187.745.841.106.960;92.336.845.703.125;9.141.807.111.901.430;92.336.845.703.125;72903600;00.00;00.00
2024-07-09 00:00:00+07:00;9.279.622.683.390.190;9.325.561.409.545.590;92.566.533.203.125;92.566.533.203.125;61853200;00.00;00.00
2024-07-10 00:00:00+07:00;9.348.532.122.621.440;9.394.470.855.410.730;9.233.685.290.648.200;92.796.240.234.375;62325900;00.00;00.00
2024-07-11 00:00:00+07:00;9.187.745.231.079.400;9.302.592.046.467.890;9.187.745.231.079.400;92.566.533.203.125;55908400;00.00;00.00
2024-07-12 00:00:00+07:00;9.233.683.957.234.800;9.279.622.683.390.190;9.210.714.594.157.100;92.566.533.203.125;62646500;00.00;00.00
2024-07-15 00:00:00+07:00;92.336.845.703.125;9.256.653.934.915.260;9.141.807.111.901.430;92.336.845.703.125;36682600;00.00;00.00
2024-07-16 00:00:00+07:00;916.477.698.305.983;9.210.715.714.804.490;91.418.076.171.875;91.418.076.171.875;37192700;00.00;00.00
2024-07-17 00:00:00+07:00;9.095.867.685.746.170;914.180.641.143.176;9.003.990.234.375;9.003.990.234.375;90666000;00.00;00.00
2024-07-18 00:00:00+07:00;9.003.991.626.701.730;92.796.240.234.375;9.003.991.626.701.730;92.796.240.234.375;65383200;00.00;00.00
2024-07-19 00:00:00+07:00;9.233.684.678.819.440;93.025.927.734.375;9.164.776.584.201.380;93.025.927.734.375;53880300;00.00;00.00
2024-07-22 00:00:00+07:00;9.302.593.389.832.140;9.325.562.756.226.790;92.796.240.234.375;92.796.240.234.375;31285300;00.00;00.00
2024-07-23 00:00:00+07:00;937.150.159.321.253;937.150.159.321.253;9.302.593.493.262.430;93.485.322.265.625;39321100;00.00;00.00
2024-07-24 00:00:00+07:00;9.302.592.046.467.890;9.348.530.772.623.290;92.566.533.203.125;92.566.533.203.125;24658000;00.00;00.00
2024-07-25 00:00:00+07:00;9.394.469.837.966.470;94.633.779.296.875;9.371.500.474.059.460;94.633.779.296.875;98088100;00.00;00.00
2024-07-26 00:00:00+07:00;9.532.286.385.820.210;9.555.255.750.605.320;9.463.378.291.464.890;948.634.765.625;75565800;00.00;00.00
2024-07-29 00:00:00+07:00;9.555.255.640.243.900;9.578.225.004.763.710;9.348.531.359.565.540;9.417.439.453.125;69092500;00.00;00.00
2024-07-30 00:00:00+07:00;9.463.379.059.812.650;9.463.379.059.812.650;93.485.322.265.625;93.485.322.265.625;32122900;00.00;00.00
2024-07-31 00:00:00+07:00;9.509.316.292.198.900;9.509.316.292.198.900;939.446.947.707.573;9.440.408.203.125;82519900;00.00;00.00
2024-08-01 00:00:00+07:00;9.371.500.583.584.330;95.322.861.328.125;9.371.500.583.584.330;95.322.861.328.125;61176200;00.00;00.00
2024-08-02 00:00:00+07:00;9.440.409.071.978.400;9.509.317.167.394.300;93.715.009.765.625;93.715.009.765.625;55699900;00.00;00.00
2024-08-05 00:00:00+07:00;9.187.746.242.088.600;9.325.562.435.719.930;90.728.994.140.625;90.728.994.140.625;126328300;00.00;00.00
2024-08-06 00:00:00+07:00;9.256.654.189.453.120;9.256.654.189.453.120;914.180.736.328.125;918.774.609.375;78473900;00.00;00.00
2024-08-07 00:00:00+07:00;918.774.655.785.891;92.796.240.234.375;918.774.655.785.891;92.796.240.234.375;52327400;00.00;00.00
2024-08-08 00:00:00+07:00;932.556.163.565.862;93.944.697.265.625;9.256.653.544.754.730;93.944.697.265.625;54162100;00.00;00.00
2024-08-09 00:00:00+07:00;939.447.059.729.064;9.417.439.963.054.180;9.279.623.768.472.900;93.255.625;47062400;00.00;00.00
2024-08-12 00:00:00+07:00;9.279.623.516.007.960;93.715.009.765.625;9.256.654.150.869.330;93.715.009.765.625;40364100;00.00;00.00
2024-08-13 00:00:00+07:00;9.417.439.201.873.480;94.633.779.296.875;9.348.531.110.152.450;94.633.779.296.875;55207100;00.00;00.00
2024-08-14 00:00:00+07:00;9.463.378.437.117.030;9.463.378.437.117.030;93.715.009.765.625;93.715.009.765.625;47999100;00.00;00.00
2024-08-15 00:00:00+07:00;9.371.500.362.927.870;9.463.377.817.466.380;9.348.530.999.293.240;93.944.697.265.625;33396600;00.00;00.00
2024-08-16 00:00:00+07:00;9.463.378.291.464.890;948.634.765.625;9.417.439.561.894.670;948.634.765.625;40731400;00.00;00.00
2024-08-19 00:00:00+07:00;9.486.347.404.461.590;9.578.224.861.163.400;9.440.408.676.110.690;95.322.861.328.125;51054400;00.00;00.00
2024-08-20 00:00:00+07:00;948.634.715.508.843;9.601.193.972.946.640;9.463.377.791.516.780;9.578.224.609.375;60304400;00.00;00.00
2024-08-21 00:00:00+07:00;964.713.270.008.993;964.713.270.008.993;9.578.224.609.375;9.578.224.609.375;84848800;00.00;00.00
2024-08-22 00:00:00+07:00;9.509.317.021.035.100;9.555.255.750.605.320;9.394.470.197.109.560;948.634.765.625;56611600;00.00;00.00
2024-08-23 00:00:00+07:00;948.634.765.625;9.532.286.385.820.210;9.463.378.291.464.890;948.634.765.625;46651600;00.00;00.00
2024-08-26 00:00:00+07:00;9.440.408.926.679.780;9.532.286.385.820.210;9.417.439.561.894.670;948.634.765.625;35145600;00.00;00.00
2024-08-27 00:00:00+07:00;9.440.409.071.978.400;9.463.378.437.117.030;9.348.531.611.423.860;93.715.009.765.625;60448400;00.00;00.00
2024-08-28 00:00:00+07:00;9.463.377.679.649.750;950.931.640.625;9.417.438.953.049.510;950.931.640.625;38489900;00.00;00.00
2024-08-29 00:00:00+07:00;96.471.327.265.434;96.471.327.265.434;93.944.697.265.625;93.944.697.265.625;53004700;00.00;00.00
2024-08-30 00:00:00+07:00;948.634.765.625;948.634.765.625;9.371.500.832.324.450;948.634.765.625;158403700;00.00;00.00
2024-09-02 00:00:00+07:00;953.228.565.522.354;953.228.565.522.354;9.371.500.114.051.090;9.440.408.203.125;72008600;00.00;00.00
2024-09-03 00:00:00+07:00;9.486.348.426.462.680;9.486.348.426.462.680;9.325.562.859.912.460;93.485.322.265.625;50950200;00.00;00.00
2024-09-04 00:00:00+07:00;9.325.561.746.245.440;94.633.779.296.875;930.259.238.233.844;94.633.779.296.875;44817000;00.00;00.00
2024-09-05 00:00:00+07:00;9.509.316.911.204.260;9.509.316.911.204.260;9.417.439.453.125;9.417.439.453.125;39332900;00.00;00.00
2024-09-06 00:00:00+07:00;9.394.469.837.966.470;94.633.779.296.875;9.394.469.837.966.470;94.633.779.296.875;31541800;00.00;00.00
2024-09-09 00:00:00+07:00;9.463.377.566.149.630;9.509.316.292.198.900;9.371.500.114.051.090;9.440.408.203.125;36185100;00.00;00.00
2024-09-10 00:00:00+07:00;950.931.640.625;950.931.640.625;9.440.408.316.349.630;950.931.640.625;55093100;00.00;00.00
2024-09-11 00:00:00+07:00;9.578.224.609.375;9.578.224.609.375;9.509.316.518.660.070;9.578.224.609.375;64621300;00.00;00.00
2024-09-12 00:00:00+07:00;9.601.193.722.963.900;9.647.132.448.911.090;9.532.285.634.043.100;96.241.630.859.375;70759100;00.00;00.00
2024-09-13 00:00:00+07:00;9.555.255.245.803.350;9.578.224.609.375;948.634.715.508.843;9.578.224.609.375;70057100;00.00;00.00
2024-09-17 00:00:00+07:00;9.601.194.084.821.420;96.471.328.125;9.509.316.629.464.280;96.471.328.125;89745000;00.00;00.00
2024-09-18 00:00:00+07:00;9.647.132.674.632.350;97.619.794.921.875;9.601.193.947.610.290;97.619.794.921.875;65420200;00.00;00.00
2024-09-19 00:00:00+07:00;9.830.888.627.078.550;100.146.435.546.875;978.494.989.517.632;100.146.435.546.875;140886600;00.00;00.00
2024-09-20 00:00:00+07:00;10.014.642.718.604.900;10.014.642.718.604.900;98.997.958.984.375;98.997.958.984.375;142194600;00.00;00.00
2024-09-23 00:00:00+07:00;9.853.857.742.936.640;1.006.058.203.125;9.853.857.742.936.640;1.006.058.203.125;72553800;00.00;00.00
2024-09-24 00:00:00+07:00;9.899.796.260.127.310;10.060.581.814.236.100;9.899.796.260.127.310;9.922.765.625;105191100;00.00;00.00
2024-09-25 00:00:00+07:00;9.807.917.590.725.800;9.968.703.125;9.670.101.418.490.780;9.968.703.125;158369100;00.00;00.00
2024-09-26 00:00:00+07:00;999.167.423.426.548;999.167.423.426.548;9.807.919.305.819.210;9.830.888.671.875;84960100;00.00;00.00
2024-09-27 00:00:00+07:00;9.647.133.032.570.420;9.876.826.676.203.050;9.555.255.575.117.370;978.494.921.875;93027400;00.00;00.00
2024-09-30 00:00:00+07:00;9.624.163.844.960.650;969.307.193.931.598;948.634.765.625;948.634.765.625;144692100;00.00;00.00
2024-10-01 00:00:00+07:00;9.555.255.109.597.150;96.930.712.890.625;9.532.285.746.352.930;96.930.712.890.625;59797700;00.00;00.00
2024-10-02 00:00:00+07:00;9.486.347.265.625;9.693.071.540.178.570;9.486.347.265.625;96.471.328.125;86746200;00.00;00.00
2024-10-03 00:00:00+07:00;96.011.943.359.375;9.670.102.429.257.620;9.555.255.607.057.410;96.011.943.359.375;60887000;00.00;00.00
2024-10-04 00:00:00+07:00;9.555.254.997.016.700;96.241.630.859.375;950.931.627.106.951;96.241.630.859.375;58500400;00.00;00.00
2024-10-07 00:00:00+07:00;9.509.316.657.501.510;9.532.286.021.408.520;9.417.439.201.873.480;94.633.779.296.875;91867900;00.00;00.00
2024-10-08 00:00:00+07:00;9.371.500.939.002.400;9.647.133.319.561.290;9.325.562.208.909.250;9.555.255.859.375;99622900;00.00;00.00
2024-10-09 00:00:00+07:00;9.555.255.245.803.350;967.010.206.366.157;9.555.255.245.803.350;9.578.224.609.375;56835200;00.00;00.00
2024-10-10 00:00:00+07:00;9.578.224.720.982.140;96.471.328.125;9.555.255.357.142.850;96.471.328.125;51080000;00.00;00.00
2024-10-11 00:00:00+07:00;9.716.041.046.216.110;9.716.041.046.216.110;95.322.861.328.125;95.322.861.328.125;44632100;00.00;00.00
2024-10-14 00:00:00+07:00;953.228.599.330.357;96.471.328.125;953.228.599.330.357;96.471.328.125;31738600;00.00;00.00
2024-10-15 00:00:00+07:00;9.693.071.401.654.410;97.619.794.921.875;9.601.193.947.610.290;97.619.794.921.875;66635200;00.00;00.00
2024-10-16 00:00:00+07:00;983.088.735.269.988;9.853.856.715.673.470;96.241.630.859.375;96.241.630.859.375;63255900;00.00;00.00
2024-10-17 00:00:00+07:00;9.693.071.869.536.710;9.922.765.515.734.260;9.647.133.140.297.200;9.853.857.421.875;66993300;00.00;00.00
2024-10-18 00:00:00+07:00;9.991.672.987.827.030;9.991.672.987.827.030;9.853.856.808.684.590;9.876.826.171.875;56299600;00.00;00.00
2024-10-21 00:00:00+07:00;9.968.704.501.793.030;9.968.704.501.793.030;98.079.189.453.125;98.079.189.453.125;36472500;00.00;00.00
2024-10-22 00:00:00+07:00;9.624.163.448.660.710;9.739.010.267.857.140;9.624.163.448.660.710;96.471.328.125;94799500;00.00;00.00
2024-10-23 00:00:00+07:00;962.416.366.820.716;978.494.921.875;962.416.366.820.716;978.494.921.875;48903000;00.00;00.00
2024-10-24 00:00:00+07:00;9.853.858.037.930.780;9.968.704.868.209.690;9.830.888.671.875;9.830.888.671.875;85341200;00.00;00.00
